,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
38,139.65305661345906,136.57193499703274,137.3605930219546,137.2667136341432,138.55401392164848,138.1475645545397,136.40207741200442,139.45882363632282
39,142.827656282948,136.66570224787517,138.24289350398857,138.059682423245,140.58816332456445,139.7243914892204,136.3274764296054,142.37169503230527
40,146.00225595243694,136.75953387722504,139.12519398602254,138.85723207163775,142.5816297394221,141.21275692637929,136.25436746685438,145.2160080072495
41,149.17685562192588,136.85342992928318,140.0074944680565,139.65938904224424,144.53522682598262,142.6166005652473,136.18272068335835,147.99095711419025
42,152.35145529141482,136.94739044828077,140.88979495009048,140.46617995085953,146.44975197081192,143.93982198385692,136.11250683553226,150.69597744897962
43,155.52605496090376,137.0414154784794,141.77209543212444,141.27763156703404,148.32598661274463,145.18625957514487,136.04369726466268,153.33072808834086
44,158.7006546303927,137.135505064171,142.6543959141584,142.09377081496177,150.16469656183867,146.35967311941897,135.9762638852105,155.89507575043498
45,161.87525429988165,137.22965924967798,143.53669639619238,142.9146247743737,151.96663231195083,147.4637295994667,135.91017917334736,158.3890787852882
46,165.0498539693706,137.3238780793531,144.41899687822635,143.74022068143623,153.73252934706076,148.50199188865724,135.8454161557215,160.81297158500487
47,168.22445363885953,137.41816159757963,145.30129736026032,144.57058592965495,155.46310844146848,149.47790996836804,135.78194839844815,163.16714948770817
48,171.39905330834847,137.51250984877126,146.1835978422943,145.40574807078355,157.15907595398804,150.39481435794463,135.71974999632027,165.45215423461428
49,174.5736529778374,137.60692287737223,147.06589832432826,146.24573481573793,158.8211241162572,151.25591146739634,135.65879556223496,167.66866002652878
50,177.74825264732635,137.70140072785725,147.94819880636223,147.09057403551577,160.449931315281,152.06428060954153,135.59906021683133,169.8174602143157
51,180.9228523168153,137.7959434447316,148.8304992883962,147.94029376212123,162.0461623703243,152.8228724339076,135.5405195783358,171.8994546474694
52,184.09745198630424,137.89055107253105,149.71279977043017,148.794922189495,163.61046880426676,153.53450856904954,135.48314975261016,173.91563769574893
53,187.27205165579318,137.98522365582207,150.59510025246414,149.6544876744499,165.14348910953038,154.20188228286816,135.42692732339904,175.8670869508358
54,190.44665132528212,138.0799612392016,151.4774007344981,150.51901873761176,166.6458490086887,154.82755999186148,135.37182934277214,177.754952608067
55,193.62125099477106,138.1747638672973,152.35970121653207,151.38854406436562,168.11816170986387,155.41398346996644,135.31783332175777,179.58044752238914
56,196.79585066426,138.26963158476735,153.24200169856604,152.2630925058076,169.56102815701553,155.96347262573602,135.2649172211637,181.34483792769643
57,199.97045033374894,138.36456443630075,154.1243021806,153.14269307970227,170.97503727522417,156.47822873307322,135.2130594425815,183.04943480456203
58,203.14505000323788,138.45956246661706,155.00660266263398,154.02737497144528,172.36076621106864,156.96033801566423,135.16223881957094,184.6955858779784
59,206.31964967272683,138.55462572046656,155.88890314466795,154.91716753503192,173.7187805681962,157.41177549869198,135.1124346090206,186.2846682239983
60,209.49424934221577,138.6497542426303,156.77120362670192,155.81210029403096,175.0496346381812,157.83440905345583,135.06362648268126,187.8180814620476
61,212.6688490117047,138.74494807792007,157.6535041087359,156.71220294256435,176.35387162676653,158.2300035712657,135.01579451886872,189.29724150808966
62,215.84344868119365,138.84020727117837,158.53580459076986,157.6175053462924,177.63202387558013,158.60022521252134,134.96891919433241,190.72357486269445
63,219.0180483506826,138.93553186727857,159.41810507280383,158.52803754340482,178.88461307941748,158.9466456853235,134.92298137628686,192.09851340734483
64,222.19264802017153,139.03092191112478,160.3004055548378,159.44382974561728,180.11215049917806,159.2707465153966,134.8779623146022,193.42348968193915
65,225.36724768966047,139.12637744765195,161.18270603687176,160.36491233917394,181.31513717054344,159.57392327561902,134.83384363415124,194.69993261637623
66,228.54184735914941,139.22189852182592,162.06500651890573,161.29131588585565,182.4940641084815,159.85748974915214,134.7906073273093,195.92926368928778
67,231.71644702863836,139.31748517864338,162.9473070009397,162.22307112399395,183.6494125076608,160.1226820051139,134.74823574660417,197.1128934873736
68,234.8910466981273,139.4131374631319,163.82960748297367,163.16020896949107,184.78165393885652,160.370662370035,134.70671159751316,198.252218639361
69,238.06564636761624,139.50885542035,164.71190796500764,164.10276051684562,185.89125054142832,160.6025232820394,134.66601793140399,199.348619099316
70,241.24024603710518,139.60463909538709,165.5942084470416,165.05075704018438,186.9786552119487,160.81929101787057,134.626138138617,200.40345575485492
71,244.41484570659412,139.70048853336357,166.47650892907558,166.0042299943,188.04431178905867,161.0219292856027,134.58705594168572,201.41806833671072
72,247.58944537608306,139.79640377943082,167.35880941110955,166.96321101569464,189.08865523462643,161.21134267818562,134.54875538869308,202.39377360708207
73,250.764045045572,139.8923848787712,168.24110989314352,167.9277319236297,190.11211181128283,161.3883799849232,134.5112208467603,203.3318638052093
74,253.93864471506095,139.9884318765981,169.12341037517749,168.89782472118154,191.11509925640613,161.5538373596239,134.47443699566617,204.23360532966916
75,257.1132443845499,140.08454481815596,170.00571085721145,169.87352159630342,192.09802695262695,161.7084613455249,134.43838882159392,205.1002376379405
